account_status	duration_months	credit_history	purpose	amount	savings_bonds	employment_since	installment_rate	sex_status	guarant_other	residence_since	property	age	other_installments	housing	number_of_credits	job	num_maintenance	telephone	foreign_workerer	credit
no_account	36	all_existing_credits_payed	car(new)	3079	no_account	1-4years	4	single_male	none	4	real_estate	36	none	own	1	skilled_employee	1	none	yes	good_credit
no_account	18	other_credits	house_investments	6070	<100DM	>7years	3	single_male	none	4	car_other	33	none	own	2	skilled_employee	1	yes	yes	good_credit
no_account	10	other_credits	house_investments	2146	<100DM	<1year	1	female	none	3	real_estate	23	none	rent	2	skilled_employee	1	none	yes	good_credit
no_account	60	other_credits	car(new)	13756	no_account	>7years	2	single_male	none	4	none	63	bank	for_free	1	high_qualified	1	yes	yes	good_credit
0-200DM	60	all_credits_payed	other	14782	100-500DM	>7years	3	female	none	4	none	60	bank	for_free	2	high_qualified	1	yes	yes	bad_credit
negative	48	all_credits_payed	business	7685	<100DM	4-7years	2	female	guarantor	4	car_other	37	none	rent	1	skilled_employee	1	none	yes	bad_credit
no_account	18	delay_in_payments	house_investments	2320	<100DM	unemployed	2	male	none	3	real_estate	34	none	own	2	skilled_employee	1	none	yes	good_credit
no_account	7	delay_in_payments	house_investments	846	no_account	>7years	3	single_male	none	4	none	36	none	for_free	1	skilled_employee	1	none	yes	good_credit
0-200DM	36	all_existing_credits_payed	car(new)	14318	<100DM	>7years	4	single_male	none	2	none	57	none	for_free	1	high_qualified	1	yes	yes	bad_credit
no_account	6	other_credits	car(new)	362	100-500DM	1-4years	4	female	none	4	car_other	52	none	own	2	unskilled_employee	1	none	yes	good_credit
negative	20	all_existing_credits_payed	house_investments	2212	no_account	4-7years	4	single_male	none	4	car_other	39	none	own	1	skilled_employee	1	yes	yes	good_credit
0-200DM	18	all_existing_credits_payed	car(used)	12976	<100DM	unemployed	3	female	none	4	none	38	none	for_free	1	high_qualified	1	yes	yes	bad_credit
no_account	22	all_existing_credits_payed	car(new)	1283	no_account	4-7years	4	female	none	4	life_insurance	25	none	rent	1	skilled_employee	1	none	yes	good_credit
>200DM	12	all_existing_credits_payed	car(new)	1330	<100DM	<1year	4	single_male	none	1	real_estate	26	none	own	1	skilled_employee	1	none	yes	good_credit
no_account	30	delay_in_payments	business	4272	100-500DM	1-4years	2	single_male	none	2	life_insurance	26	none	own	2	unskilled_employee	1	none	yes	good_credit
no_account	18	other_credits	house_investments	2238	<100DM	1-4years	2	female	none	1	car_other	25	none	own	2	skilled_employee	1	none	yes	good_credit
no_account	18	all_existing_credits_payed	house_investments	1126	no_account	<1year	4	female	none	2	real_estate	21	none	rent	1	skilled_employee	1	yes	yes	good_credit
0-200DM	18	other_credits	house_investments	7374	<100DM	unemployed	4	single_male	none	4	life_insurance	40	stores	own	2	high_qualified	1	yes	yes	good_credit
0-200DM	15	other_credits	business	2326	500-1000DM	1-4years	2	single_male	none	4	car_other	27	bank	own	1	skilled_employee	1	none	yes	good_credit
no_account	9	all_existing_credits_payed	business	1449	<100DM	4-7years	3	female	none	2	car_other	27	none	own	2	skilled_employee	1	none	yes	good_credit
no_account	18	all_existing_credits_payed	car(new)	1820	<100DM	1-4years	2	male	none	2	life_insurance	30	none	own	1	high_qualified	1	yes	yes	good_credit
0-200DM	12	all_existing_credits_payed	house_investments	983	>1000DM	<1year	1	female	none	4	real_estate	19	none	rent	1	unskilled_employee	1	none	yes	good_credit
negative	36	all_existing_credits_payed	car(new)	3249	<100DM	4-7years	2	single_male	none	4	none	39	bank	for_free	1	high_qualified	2	yes	yes	good_credit
negative	6	other_credits	house_investments	1957	<100DM	4-7years	1	female	none	4	car_other	31	none	own	1	skilled_employee	1	none	yes	good_credit
no_account	9	other_credits	house_investments	2406	<100DM	unemployed	2	single_male	none	3	car_other	31	none	own	1	high_qualified	1	none	yes	good_credit
0-200DM	39	delay_in_payments	education	11760	100-500DM	4-7years	2	single_male	none	3	none	32	none	rent	1	skilled_employee	1	yes	yes	good_credit
negative	12	all_existing_credits_payed	house_investments	2578	<100DM	unemployed	3	female	none	4	none	55	none	for_free	1	high_qualified	1	none	yes	good_credit
negative	36	other_credits	house_investments	2348	<100DM	1-4years	3	male	none	2	life_insurance	46	none	own	2	skilled_employee	1	yes	yes	good_credit
0-200DM	12	all_existing_credits_payed	car(new)	1223	<100DM	>7years	1	male	none	1	real_estate	46	none	rent	2	skilled_employee	1	none	yes	bad_credit
no_account	24	other_credits	house_investments	1516	>1000DM	1-4years	4	female	none	1	real_estate	43	none	own	2	unskilled_employee	1	none	yes	good_credit
no_account	18	all_existing_credits_payed	house_investments	1473	<100DM	<1year	3	male	none	4	real_estate	39	none	own	1	skilled_employee	1	yes	yes	good_credit
0-200DM	18	other_credits	business	1887	no_account	1-4years	4	male	none	4	real_estate	28	bank	own	2	skilled_employee	1	none	yes	good_credit
no_account	24	delay_in_payments	business	8648	<100DM	<1year	2	single_male	none	2	car_other	27	bank	own	2	skilled_employee	1	yes	yes	bad_credit
no_account	14	delay_in_payments	car(new)	802	<100DM	1-4years	4	single_male	none	2	car_other	27	none	own	2	unskilled_employee	1	none	yes	good_credit
0-200DM	18	delay_in_payments	car(new)	2899	no_account	>7years	4	single_male	none	4	car_other	43	none	own	1	skilled_employee	2	none	yes	good_credit
0-200DM	24	all_existing_credits_payed	house_investments	2039	<100DM	<1year	1	male	none	1	life_insurance	22	none	own	1	skilled_employee	1	yes	yes	bad_credit
no_account	24	other_credits	car(used)	2197	no_account	4-7years	4	single_male	none	4	car_other	43	none	own	2	skilled_employee	2	yes	yes	good_credit
negative	15	all_existing_credits_payed	house_investments	1053	<100DM	<1year	4	male	none	2	real_estate	27	none	own	1	skilled_employee	1	none	no	good_credit
no_account	24	all_existing_credits_payed	house_investments	3235	500-1000DM	>7years	3	male	none	2	car_other	26	none	own	1	high_qualified	1	yes	yes	good_credit
>200DM	12	other_credits	car(new)	939	500-1000DM	4-7years	4	male	none	2	real_estate	28	none	own	3	skilled_employee	1	yes	yes	bad_credit
0-200DM	24	all_existing_credits_payed	house_investments	1967	<100DM	>7years	4	female	none	4	car_other	20	none	own	1	skilled_employee	1	yes	yes	good_credit
no_account	33	other_credits	car(used)	7253	<100DM	4-7years	3	single_male	none	2	car_other	35	none	own	2	high_qualified	1	yes	yes	good_credit
no_account	12	other_credits	business	2292	<100DM	unemployed	4	single_male	none	2	car_other	42	stores	own	2	high_qualified	1	yes	yes	bad_credit
no_account	10	all_existing_credits_payed	car(new)	1597	500-1000DM	1-4years	3	single_male	none	2	none	40	none	rent	1	unskilled_employee	2	none	no	good_credit
negative	24	all_existing_credits_payed	car(new)	1381	no_account	1-4years	4	female	none	2	life_insurance	35	none	own	1	skilled_employee	1	none	yes	bad_credit
no_account	36	other_credits	car(used)	5842	<100DM	>7years	2	single_male	none	2	life_insurance	35	none	own	2	skilled_employee	2	yes	yes	good_credit
negative	12	all_existing_credits_payed	car(new)	2579	<100DM	<1year	4	single_male	none	1	real_estate	33	none	own	1	unskilled_employee	2	none	yes	bad_credit
negative	18	delay_in_payments	education	8471	no_account	1-4years	1	female	none	2	car_other	23	none	rent	2	skilled_employee	1	yes	yes	good_credit
no_account	21	all_existing_credits_payed	car(new)	2782	500-1000DM	4-7years	1	female	none	2	car_other	31	bank	own	1	high_qualified	1	none	yes	good_credit
0-200DM	18	all_existing_credits_payed	car(new)	1042	no_account	1-4years	4	female	none	2	life_insurance	33	none	own	1	skilled_employee	1	none	yes	bad_credit
no_account	15	all_existing_credits_payed	car(new)	3186	>1000DM	4-7years	2	female	none	3	car_other	20	none	rent	1	skilled_employee	1	none	yes	good_credit
0-200DM	12	all_existing_credits_payed	car(used)	2028	no_account	1-4years	4	single_male	none	2	car_other	30	none	own	1	skilled_employee	1	none	yes	good_credit
0-200DM	12	other_credits	car(new)	958	<100DM	4-7years	2	single_male	none	3	real_estate	47	none	own	2	unskilled_employee	2	none	yes	good_credit
no_account	21	delay_in_payments	house_investments	1591	100-500DM	4-7years	4	single_male	none	3	real_estate	34	none	own	2	high_qualified	1	none	yes	good_credit
0-200DM	12	all_existing_credits_payed	house_investments	2762	no_account	>7years	1	female	none	2	life_insurance	25	bank	own	1	skilled_employee	1	yes	yes	bad_credit
0-200DM	18	all_existing_credits_payed	car(used)	2779	<100DM	1-4years	1	male	none	3	car_other	21	none	rent	1	skilled_employee	1	yes	yes	good_credit
no_account	28	other_credits	house_investments	2743	<100DM	>7years	4	single_male	none	2	car_other	29	none	own	2	skilled_employee	1	none	yes	good_credit
no_account	18	other_credits	house_investments	1149	>1000DM	1-4years	4	single_male	none	3	real_estate	46	none	own	2	skilled_employee	1	none	yes	good_credit
no_account	9	all_existing_credits_payed	house_investments	1313	<100DM	>7years	1	single_male	none	4	car_other	20	none	own	1	skilled_employee	1	none	yes	good_credit
negative	18	other_credits	house_investments	1190	<100DM	unemployed	2	female	none	4	none	55	none	for_free	3	none	2	none	yes	bad_credit
no_account	5	all_existing_credits_payed	business	3448	<100DM	4-7years	1	single_male	none	4	real_estate	74	none	own	1	unskilled_employee	1	none	yes	good_credit
0-200DM	24	all_existing_credits_payed	other	11328	<100DM	1-4years	2	single_male	co-applicant	3	car_other	29	bank	own	2	high_qualified	1	yes	yes	bad_credit
negative	6	other_credits	house_investments	1872	<100DM	unemployed	4	single_male	none	4	none	36	none	for_free	3	high_qualified	1	yes	yes	good_credit
no_account	24	other_credits	house_investments	2058	<100DM	1-4years	4	male	none	2	real_estate	33	none	own	2	skilled_employee	1	yes	yes	good_credit
negative	9	all_existing_credits_payed	house_investments	2136	<100DM	1-4years	3	single_male	none	2	real_estate	25	none	own	1	skilled_employee	1	none	yes	good_credit
0-200DM	12	all_existing_credits_payed	house_investments	1484	no_account	1-4years	2	male	none	1	real_estate	25	none	own	1	skilled_employee	1	yes	yes	bad_credit
no_account	6	all_existing_credits_payed	house_investments	660	500-1000DM	4-7years	2	male	none	4	real_estate	23	none	rent	1	unskilled_employee	1	none	yes	good_credit
no_account	24	other_credits	car(new)	1287	>1000DM	>7years	4	female	none	4	real_estate	37	none	own	2	skilled_employee	1	yes	yes	good_credit
negative	42	other_credits	house_investments	3394	<100DM	unemployed	4	single_male	co-applicant	4	car_other	65	none	own	2	none	1	none	yes	good_credit
>200DM	12	all_credits_payed	business	609	<100DM	<1year	4	female	none	1	real_estate	26	none	own	1	none	1	none	yes	bad_credit
no_account	12	all_existing_credits_payed	car(new)	1884	<100DM	>7years	4	single_male	none	4	car_other	39	none	own	1	high_qualified	1	yes	yes	good_credit
negative	12	all_existing_credits_payed	house_investments	1620	<100DM	1-4years	2	female	co-applicant	3	life_insurance	30	none	own	1	skilled_employee	1	none	yes	good_credit
0-200DM	20	delay_in_payments	other	2629	<100DM	1-4years	2	single_male	none	3	car_other	29	bank	own	2	skilled_employee	1	yes	yes	good_credit
no_account	12	all_existing_credits_payed	education	719	<100DM	>7years	4	single_male	none	4	car_other	41	bank	own	1	unskilled_employee	2	none	yes	bad_credit
0-200DM	48	other_credits	house_investments	5096	<100DM	1-4years	2	female	none	3	car_other	30	none	own	1	high_qualified	1	yes	yes	bad_credit
no_account	9	other_credits	education	1244	no_account	>7years	4	female	none	4	life_insurance	41	none	rent	2	unskilled_employee	1	none	yes	good_credit
negative	36	all_existing_credits_payed	car(new)	1842	<100DM	<1year	4	female	none	4	car_other	34	none	own	1	skilled_employee	1	yes	yes	bad_credit
0-200DM	7	all_existing_credits_payed	house_investments	2576	<100DM	1-4years	2	single_male	guarantor	2	real_estate	35	none	own	1	skilled_employee	1	none	yes	good_credit
>200DM	12	all_existing_credits_payed	house_investments	1424	no_account	>7years	3	female	none	4	real_estate	55	none	own	1	high_qualified	1	yes	yes	good_credit
0-200DM	15	delay_in_payments	house_investments	1512	>1000DM	1-4years	3	male	none	3	life_insurance	61	stores	own	2	skilled_employee	1	none	yes	bad_credit
no_account	36	other_credits	car(used)	11054	no_account	1-4years	4	single_male	none	2	car_other	30	none	own	1	high_qualified	1	yes	yes	good_credit
no_account	6	all_existing_credits_payed	house_investments	518	<100DM	1-4years	3	female	none	1	real_estate	29	none	own	1	skilled_employee	1	none	yes	good_credit
no_account	12	all_credits_payed	house_investments	2759	<100DM	>7years	2	single_male	none	4	life_insurance	34	none	own	2	skilled_employee	1	none	yes	good_credit
no_account	24	all_existing_credits_payed	car(used)	2670	<100DM	>7years	4	single_male	none	4	car_other	35	none	own	1	high_qualified	1	yes	yes	good_credit
negative	24	all_existing_credits_payed	car(new)	4817	<100DM	4-7years	2	single_male	co-applicant	3	life_insurance	31	none	own	1	skilled_employee	1	yes	yes	bad_credit
no_account	24	all_existing_credits_payed	car(used)	2679	<100DM	<1year	4	female	none	1	none	29	none	own	1	high_qualified	1	yes	yes	good_credit
negative	11	other_credits	car(new)	3905	<100DM	1-4years	2	single_male	none	2	real_estate	36	none	rent	2	skilled_employee	2	none	yes	good_credit
negative	12	all_existing_credits_payed	car(used)	3386	<100DM	>7years	3	single_male	none	4	none	35	none	for_free	1	skilled_employee	1	yes	yes	bad_credit
negative	6	all_existing_credits_payed	house_investments	343	<100DM	<1year	4	female	none	1	real_estate	27	none	own	1	skilled_employee	1	none	yes	good_credit
no_account	18	all_existing_credits_payed	house_investments	4594	<100DM	<1year	3	single_male	none	2	car_other	32	none	own	1	skilled_employee	1	yes	yes	good_credit
negative	36	all_existing_credits_payed	house_investments	3620	<100DM	1-4years	1	single_male	guarantor	2	life_insurance	37	none	own	1	skilled_employee	2	none	yes	good_credit
negative	15	all_existing_credits_payed	car(new)	1721	<100DM	<1year	2	single_male	none	3	real_estate	36	none	own	1	skilled_employee	1	none	yes	good_credit
0-200DM	12	all_existing_credits_payed	house_investments	3017	<100DM	<1year	3	female	none	1	real_estate	34	none	rent	1	high_qualified	1	none	yes	good_credit
0-200DM	12	all_existing_credits_payed	education	754	no_account	>7years	4	single_male	none	4	life_insurance	38	none	own	2	skilled_employee	1	none	yes	good_credit
no_account	18	all_existing_credits_payed	business	1950	<100DM	4-7years	4	single_male	none	1	car_other	34	stores	own	2	skilled_employee	1	yes	yes	good_credit
negative	24	all_existing_credits_payed	car(used)	2924	<100DM	1-4years	3	single_male	guarantor	4	none	63	bank	own	1	skilled_employee	2	yes	yes	good_credit
negative	24	delay_in_payments	house_investments	1659	<100DM	<1year	4	female	none	2	car_other	29	none	rent	1	unskilled_employee	1	yes	yes	bad_credit
no_account	48	delay_in_payments	house_investments	7238	no_account	>7years	3	single_male	none	3	car_other	32	bank	own	2	skilled_employee	2	none	yes	good_credit
no_account	33	delay_in_payments	business	2764	<100DM	1-4years	2	female	none	2	car_other	26	none	own	2	skilled_employee	1	yes	yes	good_credit
no_account	24	delay_in_payments	car(used)	4679	<100DM	4-7years	3	single_male	none	3	car_other	35	none	own	2	unskilled_employee	1	yes	yes	good_credit
0-200DM	24	all_existing_credits_payed	house_investments	3092	100-500DM	<1year	3	male	none	2	car_other	22	none	rent	1	skilled_employee	1	yes	yes	bad_credit
negative	6	all_existing_credits_payed	education	448	<100DM	<1year	4	female	none	4	life_insurance	23	none	own	1	skilled_employee	1	none	yes	bad_credit
negative	9	all_existing_credits_payed	car(new)	654	<100DM	1-4years	4	single_male	none	3	car_other	28	none	own	1	unskilled_employee	1	none	yes	bad_credit
no_account	6	all_existing_credits_payed	education	1238	no_account	unemployed	4	single_male	none	4	life_insurance	36	none	own	1	high_qualified	2	yes	yes	good_credit
0-200DM	18	other_credits	house_investments	1245	<100DM	1-4years	4	male	none	2	car_other	33	none	own	1	skilled_employee	1	none	yes	bad_credit
negative	18	all_credits_payed	house_investments	3114	<100DM	<1year	1	female	none	4	life_insurance	26	none	rent	1	skilled_employee	1	none	yes	bad_credit
no_account	39	all_existing_credits_payed	car(used)	2569	500-1000DM	1-4years	4	single_male	none	4	car_other	24	none	own	1	skilled_employee	1	none	yes	good_credit
>200DM	24	all_existing_credits_payed	house_investments	5152	<100DM	4-7years	4	single_male	none	2	car_other	25	bank	own	1	skilled_employee	1	none	yes	good_credit
0-200DM	12	all_existing_credits_payed	business	1037	100-500DM	4-7years	3	single_male	none	4	real_estate	39	none	own	1	unskilled_employee	1	none	yes	good_credit
negative	15	other_credits	house_investments	1478	<100DM	>7years	4	single_male	none	4	car_other	44	none	own	2	skilled_employee	2	yes	yes	good_credit
0-200DM	12	other_credits	house_investments	3573	<100DM	1-4years	1	female	none	1	real_estate	23	none	own	1	unskilled_employee	1	none	yes	good_credit
0-200DM	24	all_existing_credits_payed	car(new)	1201	<100DM	<1year	4	single_male	none	1	life_insurance	26	none	own	1	skilled_employee	1	none	yes	good_credit
negative	30	all_existing_credits_payed	house_investments	3622	>1000DM	>7years	4	female	none	4	life_insurance	57	none	rent	2	skilled_employee	1	yes	yes	good_credit
no_account	15	delay_in_payments	house_investments	960	>1000DM	4-7years	3	female	none	2	life_insurance	30	none	own	2	skilled_employee	1	none	yes	good_credit
no_account	12	other_credits	car(new)	1163	500-1000DM	1-4years	4	single_male	none	4	real_estate	44	none	own	1	skilled_employee	1	yes	yes	good_credit
0-200DM	6	delay_in_payments	car(new)	1209	<100DM	unemployed	4	single_male	none	4	life_insurance	47	none	own	1	high_qualified	1	yes	yes	bad_credit
no_account	12	all_existing_credits_payed	house_investments	3077	<100DM	1-4years	2	single_male	none	4	car_other	52	none	own	1	skilled_employee	1	yes	yes	good_credit
no_account	24	all_existing_credits_payed	car(new)	3757	<100DM	>7years	4	female	co-applicant	4	none	62	none	for_free	1	skilled_employee	1	yes	yes	good_credit
no_account	10	all_existing_credits_payed	car(new)	1418	100-500DM	1-4years	3	single_male	none	2	real_estate	35	none	rent	1	unskilled_employee	1	none	no	good_credit
no_account	6	all_existing_credits_payed	car(new)	3518	<100DM	1-4years	2	single_male	guarantor	3	life_insurance	26	none	rent	1	skilled_employee	1	none	yes	good_credit
no_account	12	other_credits	house_investments	1934	<100DM	>7years	2	single_male	none	2	none	26	none	own	2	skilled_employee	1	none	yes	good_credit
0-200DM	27	all_credits_payed	business	8318	<100DM	>7years	2	female	none	4	none	42	none	for_free	2	high_qualified	1	yes	yes	bad_credit
no_account	6	other_credits	house_investments	1237	100-500DM	1-4years	1	female	none	1	life_insurance	27	none	own	2	skilled_employee	1	none	yes	good_credit
0-200DM	6	all_existing_credits_payed	house_investments	368	no_account	>7years	4	single_male	none	4	life_insurance	38	none	own	1	skilled_employee	1	none	yes	good_credit
negative	12	other_credits	car(new)	2122	<100DM	1-4years	3	single_male	none	2	real_estate	39	none	rent	2	unskilled_employee	2	none	no	good_credit
negative	24	all_existing_credits_payed	house_investments	2996	no_account	1-4years	2	male	none	4	car_other	20	none	own	1	skilled_employee	1	none	yes	bad_credit
0-200DM	36	all_existing_credits_payed	house_investments	9034	100-500DM	<1year	4	single_male	co-applicant	1	none	29	none	rent	1	high_qualified	1	yes	yes	bad_credit
no_account	24	other_credits	house_investments	1585	<100DM	4-7years	4	single_male	none	3	life_insurance	40	none	own	2	skilled_employee	1	none	yes	good_credit
0-200DM	18	all_existing_credits_payed	house_investments	1301	<100DM	>7years	4	male	guarantor	2	real_estate	32	none	own	1	unskilled_employee	1	none	yes	good_credit
>200DM	6	other_credits	car(new)	1323	100-500DM	>7years	2	male	none	4	car_other	28	none	own	2	skilled_employee	2	yes	yes	good_credit
negative	24	all_existing_credits_payed	car(new)	3123	<100DM	<1year	4	female	none	1	life_insurance	27	none	own	1	skilled_employee	1	none	yes	bad_credit
negative	36	all_existing_credits_payed	car(used)	5493	<100DM	>7years	2	single_male	none	4	none	42	none	for_free	1	skilled_employee	2	none	yes	good_credit
>200DM	9	all_existing_credits_payed	house_investments	1126	100-500DM	>7years	2	male	none	4	real_estate	49	none	own	1	skilled_employee	1	none	yes	good_credit
0-200DM	24	other_credits	house_investments	1216	100-500DM	<1year	4	single_male	none	4	none	38	bank	own	2	skilled_employee	2	none	yes	bad_credit
negative	24	all_existing_credits_payed	car(new)	1207	<100DM	<1year	4	female	none	4	life_insurance	24	none	rent	1	skilled_employee	1	none	yes	bad_credit
no_account	10	all_existing_credits_payed	car(new)	1309	no_account	1-4years	4	single_male	guarantor	4	life_insurance	27	none	own	1	unskilled_employee	1	none	yes	bad_credit
>200DM	15	other_credits	car(used)	2360	500-1000DM	1-4years	2	single_male	none	2	car_other	36	none	own	1	skilled_employee	1	yes	yes	good_credit
0-200DM	15	all_credits_payed	car(new)	6850	100-500DM	unemployed	1	single_male	none	2	life_insurance	34	none	own	1	high_qualified	2	yes	yes	bad_credit
no_account	24	all_existing_credits_payed	house_investments	1413	<100DM	1-4years	4	male	none	2	life_insurance	28	none	own	1	skilled_employee	1	none	yes	good_credit
no_account	39	all_existing_credits_payed	car(used)	8588	100-500DM	>7years	4	single_male	none	2	car_other	45	none	own	1	high_qualified	1	yes	yes	good_credit
negative	12	all_existing_credits_payed	car(new)	759	<100DM	4-7years	4	single_male	none	2	real_estate	26	none	own	1	skilled_employee	1	none	yes	bad_credit
no_account	36	all_existing_credits_payed	car(used)	4686	<100DM	1-4years	2	single_male	none	2	none	32	none	for_free	1	high_qualified	1	yes	yes	good_credit
>200DM	15	all_existing_credits_payed	business	2687	<100DM	4-7years	2	single_male	none	4	life_insurance	26	none	rent	1	skilled_employee	1	yes	yes	good_credit
0-200DM	12	delay_in_payments	house_investments	585	<100DM	1-4years	4	male	co-applicant	4	real_estate	20	none	rent	2	skilled_employee	1	none	yes	good_credit
no_account	24	all_existing_credits_payed	car(new)	2255	no_account	<1year	4	single_male	none	1	life_insurance	54	none	own	1	skilled_employee	1	none	yes	good_credit
negative	6	other_credits	car(new)	609	<100DM	4-7years	4	female	none	3	life_insurance	37	none	own	2	skilled_employee	1	none	no	good_credit
negative	6	other_credits	car(new)	1361	<100DM	<1year	2	single_male	none	4	real_estate	40	none	own	1	unskilled_employee	2	none	no	good_credit
no_account	36	other_credits	house_investments	7127	<100DM	<1year	2	female	none	4	life_insurance	23	none	rent	2	skilled_employee	1	yes	yes	bad_credit
negative	6	all_existing_credits_payed	car(new)	1203	100-500DM	>7years	3	single_male	none	2	life_insurance	43	none	own	1	skilled_employee	1	yes	yes	good_credit
no_account	6	other_credits	house_investments	700	no_account	>7years	4	single_male	none	4	none	36	none	for_free	2	skilled_employee	1	none	yes	good_credit
no_account	24	other_credits	house_investments	5507	<100DM	>7years	3	single_male	none	4	none	44	none	for_free	2	skilled_employee	1	none	yes	good_credit
negative	18	all_existing_credits_payed	house_investments	3190	<100DM	1-4years	2	female	none	2	real_estate	24	none	own	1	skilled_employee	1	none	yes	bad_credit
negative	48	all_credits_payed	house_investments	7119	<100DM	1-4years	3	single_male	none	4	none	53	none	for_free	2	skilled_employee	2	none	yes	bad_credit
no_account	24	all_existing_credits_payed	car(used)	3488	100-500DM	4-7years	3	female	none	4	car_other	23	none	own	1	skilled_employee	1	none	yes	good_credit
0-200DM	18	all_existing_credits_payed	house_investments	1113	<100DM	1-4years	4	female	guarantor	4	real_estate	26	none	own	1	unskilled_employee	2	none	yes	good_credit
0-200DM	26	all_existing_credits_payed	car(used)	7966	<100DM	<1year	2	single_male	none	3	car_other	30	none	own	2	skilled_employee	1	none	yes	good_credit
no_account	15	other_credits	education	1532	100-500DM	1-4years	4	female	none	3	car_other	31	none	own	1	skilled_employee	1	none	yes	good_credit
no_account	4	other_credits	house_investments	1503	<100DM	4-7years	2	single_male	none	1	real_estate	42	none	own	2	unskilled_employee	2	none	yes	good_credit
negative	36	all_existing_credits_payed	house_investments	2302	<100DM	1-4years	4	male	none	4	car_other	31	none	rent	1	skilled_employee	1	none	yes	bad_credit
negative	6	all_existing_credits_payed	car(new)	662	<100DM	<1year	3	single_male	none	4	real_estate	41	none	own	1	unskilled_employee	2	yes	yes	good_credit
0-200DM	36	all_existing_credits_payed	education	2273	<100DM	4-7years	3	single_male	none	1	car_other	32	none	own	2	skilled_employee	2	none	yes	good_credit
0-200DM	15	all_existing_credits_payed	car(new)	2631	100-500DM	1-4years	2	female	none	4	car_other	28	none	rent	2	skilled_employee	1	yes	yes	bad_credit
no_account	12	delay_in_payments	car(used)	1503	<100DM	1-4years	4	male	none	4	real_estate	41	none	rent	1	skilled_employee	1	none	yes	good_credit
no_account	24	all_existing_credits_payed	house_investments	1311	100-500DM	4-7years	4	male	none	3	life_insurance	26	none	own	1	skilled_employee	1	yes	yes	good_credit
no_account	24	all_existing_credits_payed	house_investments	3105	no_account	<1year	4	single_male	none	2	car_other	25	none	own	2	skilled_employee	1	none	yes	good_credit
>200DM	21	other_credits	education	2319	<100DM	<1year	2	male	none	1	car_other	33	none	rent	1	skilled_employee	1	none	yes	bad_credit
negative	6	all_existing_credits_payed	car(new)	1374	no_account	unemployed	4	female	none	3	life_insurance	75	none	own	1	high_qualified	1	yes	yes	good_credit
0-200DM	18	other_credits	house_investments	3612	<100DM	>7years	3	female	none	4	life_insurance	37	none	own	1	skilled_employee	1	yes	yes	good_credit
negative	48	all_existing_credits_payed	car(new)	7763	<100DM	>7years	4	single_male	none	4	none	42	bank	for_free	1	high_qualified	1	none	yes	bad_credit
>200DM	18	all_existing_credits_payed	house_investments	3049	<100DM	<1year	1	female	none	1	life_insurance	45	stores	own	1	unskilled_employee	1	none	yes	good_credit
0-200DM	12	all_existing_credits_payed	house_investments	1534	<100DM	<1year	1	male	none	1	real_estate	23	none	rent	1	skilled_employee	1	none	yes	bad_credit
no_account	24	delay_in_payments	car(new)	2032	<100DM	>7years	4	single_male	none	4	none	60	none	for_free	2	skilled_employee	1	yes	yes	good_credit
negative	30	all_existing_credits_payed	house_investments	6350	no_account	>7years	4	single_male	none	4	life_insurance	31	none	own	1	skilled_employee	1	none	yes	bad_credit
>200DM	18	all_existing_credits_payed	house_investments	2864	<100DM	1-4years	2	single_male	none	1	real_estate	34	none	own	1	unskilled_employee	2	none	yes	bad_credit
no_account	12	other_credits	car(new)	1255	<100DM	>7years	4	single_male	none	4	real_estate	61	none	own	2	unskilled_employee	1	none	yes	good_credit
negative	24	delay_in_payments	car(new)	1333	<100DM	unemployed	4	single_male	none	2	real_estate	43	none	for_free	2	skilled_employee	2	none	yes	bad_credit
no_account	24	other_credits	car(new)	2022	<100DM	1-4years	4	female	none	4	car_other	37	none	own	1	skilled_employee	1	yes	yes	good_credit
no_account	24	all_existing_credits_payed	house_investments	1552	<100DM	4-7years	3	single_male	none	1	car_other	32	bank	own	1	skilled_employee	2	none	yes	good_credit
negative	12	all_credits_payed	house_investments	626	<100DM	1-4years	4	female	none	4	real_estate	24	bank	own	1	unskilled_employee	1	none	yes	bad_credit
no_account	48	other_credits	car(used)	8858	no_account	4-7years	2	single_male	none	1	none	35	none	for_free	2	skilled_employee	1	yes	yes	good_credit
no_account	12	other_credits	house_investments	996	no_account	4-7years	4	female	none	4	real_estate	23	none	own	2	skilled_employee	1	none	yes	good_credit
no_account	6	all_credits_payed	house_investments	1750	500-1000DM	>7years	2	single_male	none	4	life_insurance	45	bank	own	1	unskilled_employee	2	none	yes	good_credit
negative	48	all_existing_credits_payed	house_investments	6999	<100DM	4-7years	1	male	guarantor	1	real_estate	34	none	own	2	skilled_employee	1	yes	yes	bad_credit
0-200DM	12	other_credits	car(new)	1995	100-500DM	<1year	4	single_male	none	1	car_other	27	none	own	1	skilled_employee	1	none	yes	good_credit
0-200DM	9	all_existing_credits_payed	education	1199	<100DM	4-7years	4	female	none	4	life_insurance	67	none	own	2	high_qualified	1	yes	yes	good_credit
0-200DM	12	all_existing_credits_payed	house_investments	1331	<100DM	<1year	2	single_male	none	1	car_other	22	stores	own	1	skilled_employee	1	none	yes	bad_credit
0-200DM	18	all_credits_payed	car(new)	2278	100-500DM	<1year	3	female	none	3	car_other	28	none	own	2	skilled_employee	1	none	yes	bad_credit
